,Time,Voltage
811,67.01436,0.1438106
812,67.09698,0.14228
813,67.17962,0.1407895
814,67.26225,0.1393358
815,67.34486,0.1379118
816,67.42751,0.1365177
817,67.51014,0.1351453
818,67.59277,0.1338211
819,67.67541,0.1325176
820,67.75807,0.1312381
821,67.84068,0.1299861
822,67.92331,0.1287604
823,68.00593,0.1275681
824,68.08856,0.1263929
825,68.1712,0.1252532
826,68.25383,0.1241365
827,68.33648,0.1230302
828,68.4191,0.1219478
829,68.50173,0.1208953
830,68.58437,0.1198566
831,68.66699,0.1188522
832,68.74962,0.1178537
833,68.83225,0.1168745
834,68.91488,0.1159218
835,68.9975,0.1149736
836,69.08015,0.1140588
837,69.16278,0.1131495
838,69.24542,0.1122667
839,69.32803,0.1114011
840,69.41065,0.1105527
841,69.49327,0.1097203
842,69.5759,0.1088949
843,69.65854,0.1080889
844,69.74119,0.1072852
845,69.82382,0.1065067
846,69.90646,0.1057351
847,69.98911,0.104976
848,70.07175,0.1042377
849,70.15439,0.1035201
850,70.23703,0.1028103
851,70.31964,0.1021133
852,70.40226,0.1014265
853,70.4849,0.1007501
854,70.56751,0.1000954
855,70.65015,0.09944527
856,70.73279,0.09879643
857,70.81543,0.09817848
858,70.89805,0.09755938
859,70.98067,0.09695857
860,71.06332,0.09636243
861,71.14594,0.09577311
862,71.22859,0.09519984
863,71.31123,0.09463001
864,71.39388,0.09407048
865,71.4765,0.09352364
866,71.55912,0.0929779
867,71.64175,0.09244366
868,71.7244,0.0919174
869,71.80703,0.09140261
870,71.88964,0.09090618
871,71.97228,0.09041082
872,72.0549,0.08992013
873,72.13754,0.08944205
874,72.22019,0.0889663
875,72.30281,0.08849733
876,72.38545,0.08803294
877,72.46807,0.08757441
878,72.5507,0.08713069
879,72.63333,0.08669502
880,72.71597,0.08626737
881,72.79859,0.08584424
882,72.88124,0.08542926
883,72.96385,0.08501996
884,73.04651,0.08461749
885,73.12914,0.08422431
886,73.21178,0.08383792
887,73.29443,0.08344809
888,73.37704,0.08306636
889,73.45967,0.08269483
890,73.54229,0.08232339
891,73.62494,0.08196221
892,73.70757,0.08159881
893,73.7902,0.08124798
894,73.87282,0.08090291
895,73.95547,0.08055548
896,74.03811,0.08021035
897,74.12075,0.07987101
898,74.20339,0.07954884
899,74.28601,0.07922667
900,74.36864,0.07889757
901,74.45126,0.07859378
902,74.53389,0.07828994
903,74.61654,0.07798729
904,74.69918,0.07767658
905,74.78181,0.07739227
906,74.86444,0.07710907
907,74.94707,0.07683737
908,75.02968,0.07655761
909,75.11232,0.07628933
910,75.19494,0.07601869
911,75.2776,0.07574813
912,75.36023,0.07549134
913,75.44287,0.0752253
914,75.52553,0.07496969
915,75.60814,0.07471743
916,75.69078,0.07447092
917,75.7734,0.07423244
918,75.85605,0.07399631
919,75.93868,0.07376244
920,76.02131,0.073548
921,76.10394,0.07332098
922,76.18656,0.07310085
923,76.2692,0.07287733
924,76.35183,0.07266408
925,76.43446,0.07245303
926,76.5171,0.07224211
927,76.59975,0.07202426
928,76.68239,0.0718248
929,76.76502,0.07161611
930,76.84765,0.07141548
931,76.93028,0.07121944
932,77.01289,0.07102219
933,77.09554,0.07082498
934,77.17817,0.07064269
935,77.2608,0.07045358
936,77.34343,0.0702598
937,77.42606,0.07008094
938,77.50871,0.06989175
939,77.59133,0.06971522
940,77.67397,0.06953064
941,77.7566,0.06935637
942,77.83924,0.06918557
943,77.92189,0.06900783
944,78.00452,0.06883357
945,78.08715,0.06866388
946,78.16979,0.06849645
947,78.25242,0.06833368
948,78.33505,0.06817544
949,78.41769,0.06801836
950,78.50032,0.06785899
951,78.58295,0.06770995
952,78.6656,0.06755516
953,78.74824,0.06741187
954,78.83089,0.06725708
955,78.91352,0.06710808
956,78.99616,0.0669728
957,79.07879,0.06683175
958,79.16144,0.06668267
959,79.24405,0.06654744
960,79.32668,0.06640641
961,79.40929,0.06627571
962,79.49194,0.06614614
963,79.57456,0.06601428
964,79.65721,0.06588241
965,79.73985,0.06575513
966,79.82246,0.06563016
967,79.90511,0.06550637
968,79.98772,0.06539517
969,80.07036,0.06527135
970,80.15299,0.06515669
971,80.23563,0.06504206
972,80.31827,0.06492973
973,80.4009,0.06481848
974,80.48354,0.06470382
975,80.56617,0.06458915
976,80.6488,0.06448484
977,80.73143,0.06437589
978,80.81404,0.06426929
979,80.89666,0.06416039
980,80.9793,0.06405493
981,81.06193,0.06395061
982,81.14457,0.06384742
983,81.22722,0.06374653
984,81.30983,0.0636479
985,81.39247,0.06353898
986,81.47511,0.06344841
987,81.55774,0.06335208
988,81.64038,0.06324889
989,81.72304,0.06315491
990,81.80565,0.06306549
991,81.88829,0.06296459
992,81.97092,0.06287055
993,82.05355,0.0627823
994,82.13619,0.06269056
995,82.21883,0.06259884
996,82.30144,0.06251973
997,82.38406,0.06242571
998,82.4667,0.06233858
999,82.54933,0.06224915
1000,82.63197,0.06217238
1001,82.71461,0.06208293
1002,82.79726,0.06199808
1003,82.87987,0.06191896
1004,82.96251,0.06183985
1005,83.04516,0.06175274
1006,83.12779,0.06167354
1007,83.21042,0.06159906
1008,83.29305,0.06151532
1009,83.37569,0.06143854
1010,83.45832,0.06136862
1011,83.54096,0.06128838
1012,83.6236,0.06120929
1013,83.70624,0.06113706
1014,83.78889,0.06106482
1015,83.87151,0.06099833
1016,83.95415,0.06091807
1017,84.03677,0.06084815
1018,84.11942,0.06077705
1019,84.20206,0.06071055
1020,84.2847,0.06064172
1021,84.36734,0.06057295
1022,84.45,0.06050185
1023,84.53263,0.06044227
